sku_id,item_group_id,link,product_category,title,product_type,product_category_id,title_nouns,product_category_convert,product_type_convert,diff_rate,diff_rate_cat
268283,20516,https://www.habitat.co.uk/odin-bamboo-leaning-mirror-268283?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxlqaaii&istBid=t,Home & Garden > Decor > Mirrors,Odin Bamboo And White Lacquer Leaning Mirror,Accessories > Bathroom > Cabinets & fixtures,595,lacquer odin bamboo white mirror leaning,garden mirror decor,fixture cabinet bathroom,53,35
296910,21476,https://www.habitat.co.uk/chester-stone-leather-footstool-dark-stained-feet-296910?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxlqaaaa&istBid=t,Furniture > Chairs > Folding Chairs & Stools,"Chester Stone Leather Footstool, Dark Stained Feet",Super Savings > Sofa Super Savings > SofasSofas & Armchairs > Sofas & Armchairs > Shop by collectionNOT VISIBLE CATEGORIES > Disc LinesSofas & Armchairs,3358,leather foot dark chester footstool stone,stool folding chair,sofassofa sofa armchair disc visible by category shop collectionnot linessofa super saving,53,47
1783595,26392,https://www.habitat.co.uk/talsi-yellow-trumpet-glass-vase-1783595?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ixxtixamx&istBid=t,Home & Garden > Decor > Vases,Talsi Yellow Trumpet Glass Vase,Accessories > Home accessories > Decorative AccessoriesAccessories > Home accessories > VasesSuper Savings > Accessories Super Savings > VasesNOT VISIBLE CATEGORIES > Disc LinesInspiration > Colourful Interiors,602,yellow glas trumpet vase,garden vase decor,vasessuper accessoriesaccessory colourful vasesnot linesinspiration decorative accessory visible home disc category interior super saving accessory,53,47
252780,19357,https://www.habitat.co.uk/washed-pink-stonewashed-kingsize-fitted-sheet-252780?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwwrxll&istBid=t,Home & Garden > Linens & Bedding > Bedding > Bed Sheets,Washed Pink Stonewashed King Fitted Sheet,Soft furnishings > Bedroom Linen > Bed SheetsRELAXATION STATION,2314,sheet king pink,linen sheet garden bedding bed,bedroom furnishing linen sheetsrelaxation bed station,53,60
268760,20438,https://www.habitat.co.uk/kupari-40-x-120cm-gold-full-length-wall-mirror-268760?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmxplxw&istBid=t,Home & Garden > Decor > Mirrors,KUPARI 40 x 140cm Gold full-length wall mirror,Accessories > Home accessories > Mirrors,595,mirror wall gold x,garden mirror decor,mirror accessory home,53,53
1787060,27756,https://www.habitat.co.uk/honor-green-tall-glass-vase-1787060?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipttqaqix&istBid=t,Home & Garden > Decor > Vases,Honor Green Tall Glass Vase,Accessories > Home accessories > Decorative accessories,602,honor glas tall vase green,garden vase decor,decorative accessory home,53,35
296907,21474,https://www.habitat.co.uk/chester-light-brown-leather-footstool-dark-stained-feet-296907?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmmqllm&istBid=t,Furniture > Chairs > Folding Chairs & Stools,"Chester Light Brown Leather Footstool, Dark Stained Feet",Super Savings > Sofa Super Savings > SofasSofas & Armchairs > Sofas & Armchairs > Shop by collectionNOT VISIBLE CATEGORIES > Disc LinesSofas & Armchairs,3358,leather light foot dark chester footstool brown,stool folding chair,sofassofa sofa armchair disc visible by category shop collectionnot linessofa super saving,53,47
1783588,26385,https://www.habitat.co.uk/brooke-two-tone-blue-glass-vase-1783588?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ixxtixalp&istBid=t,Home & Garden > Decor > Vases,Brooke Two Tone Blue Glass Vase,Super Savings > Accessories Super Savings > VasesAccessories > Home accessories > VasesAccessories > Home accessories > Decorative AccessoriesNOT VISIBLE CATEGORIES > Disc Lines,602,tone two glas vase brooke blue,garden vase decor,vasesaccessory accessoriesnot accessory decorative visible home disc category line super saving accessory,53,47
1786351,27905,https://www.habitat.co.uk/linen-mustard-mustard-linen-king-fitted-sheet-1786351?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipilramtp&istBid=t,Home & Garden > Linens & Bedding > Bedding > Bed Sheets,Linen Mustard Yellow Mustard Yellow Linen King Fitted Sheet,Soft furnishings > Bedroom Linen > Bed SheetsNew > New In,2314,linen yellow sheet king mustard,linen sheet garden bedding bed,bedroom furnishing in linen new sheetsnew bed,53,60
240760,10419,https://www.habitat.co.uk/gpo-tower-print-50-x-50cm-print-by-jayson-lilley-240760?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwxrprx&istBid=t,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Gpo Tower Print 50 X 50Cm Print By Jayson Lilley,Accessories > Home accessories > Wall Art,500044,x print gpo tower,print visual poster artwork garden decor,accessory wall art home,53,35
1786429,27821,https://www.habitat.co.uk/manuel-blue-and-white-chequered-vase-1786429?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipttqaqia&istBid=t,Home & Garden > Decor > Vases,Manuel Blue And White Chequered Vase,Accessories > Home accessories > Decorative accessories,602,white vase blue,garden vase decor,decorative accessory home,53,35
1786995,27614,https://www.habitat.co.uk/lobos-black-4-seater-powdercoated-aluminium-garden-bench-1786995?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipixiaxaq&istBid=t,Furniture > Benches > Storage & Entryway Benches,Lobos Black 4 Seater Powdercoated Aluminium Garden Bench,Garden > Garden > Garden Furniture > Garden Chairs,6851,aluminium black bench garden,bench storage entryway,garden chair furniture,53,40
1787027,27750,https://www.habitat.co.uk/derwent-oak-2-door-wardrobe-with-1-drawer-and-full-length-mirror-1787027?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=iiarqmtii&istBid=t,Furniture > Cabinets & Storage > Armoires & Wardrobes,Derwent Oak 2 Door Wardrobe With 1 Drawer And Full Length Mirror,Furniture > Bedroom > Wardrobes,4063,wardrobe door drawer length mirror oak full,wardrobe storage cabinet armoire,bedroom wardrobe,53,50
