,link,google_product_category,title,product_type,title_nouns,google_product_category_convert,product_type_convert,diff_rate,diff_rate_cat
1732,https://www.habitat.co.uk/colby-grey-italian-woven-fabric-left-arm-chaise-sofa-377318?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalip&istBid=t,Furniture > Sofas,Colby Grey Italian Woven FaBric Left Arm Chaise Sofa,Sofas & Armchairs > Corner & chaise sofas,italian fabric arm left grey sofa chaise,sofa,chaise armchair corner sofa,100,100
1840,https://www.habitat.co.uk/spencer-red-wool-4-seater-sofa-oak-legs-348913?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmmqimx&istBid=t,Furniture > Sofas,"Spencer Red Wool 4 Seater Sofa, Oak Legs",Sofas & Armchairs > Sofas & Armchairs > Shop by collectionSofas & Armchairs,wool leg oak spencer red sofa,sofa,armchair collectionsofa shop sofa by,100,100
1804,https://www.habitat.co.uk/colby-natural-italian-woven-fabric-3-seater-sofa-376427?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmxppqp&istBid=t,Furniture > Sofas,Colby Natural Italian Woven FaBric 3 Seater Sofa,Sofas & Armchairs > 3 seater sofas,italian sofa fabric natural,sofa,armchair sofa seater,100,100
1805,https://www.habitat.co.uk/colby-charcoal-italian-woven-fabric-3-seater-sofa-376437?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmxppqr&istBid=t,Furniture > Sofas,Colby Charcoal Grey Italian Woven FaBric 3 Seater Sofa,Sofas & Armchairs > 3 seater sofas,italian fabric charcoal grey sofa,sofa,armchair sofa seater,100,100
1806,https://www.habitat.co.uk/colby-charcoal-italian-woven-fabric-2-seater-sofa-376436?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalra&istBid=t,Furniture > Sofas,Colby Charcoal Grey Italian Woven FaBric 2 Seater Sofa,Sofas & Armchairs > 2 seater sofas,italian fabric charcoal grey sofa,sofa,armchair sofa seater,100,100
1808,https://www.habitat.co.uk/colby-grey-italian-woven-fabric-2-seater-sofa-376432?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmmqilp&istBid=t,Furniture > Sofas,Colby Grey Italian Woven FaBric 2 Seater Sofa,Sofas & Armchairs > 2 seater sofas,italian sofa fabric grey,sofa,armchair sofa seater,100,100
1810,https://www.habitat.co.uk/colby-grey-italian-woven-fabric-3-seater-sofa-376434?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaallw&istBid=t,Furniture > Sofas,Colby Grey Italian Woven FaBric 3 Seater Sofa,Sofas & Armchairs > 3 seater sofas,italian sofa fabric grey,sofa,armchair sofa seater,100,100
1811,https://www.habitat.co.uk/colby-emerald-green-velvet-3-seater-sofa-376445?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaalli&istBid=t,Furniture > Sofas,Colby Emerald Green Velvet 3 Seater Sofa,Sofas & Armchairs > 3 seater sofas,green velvet sofa emerald,sofa,armchair sofa seater,100,100
1812,https://www.habitat.co.uk/colby-emerald-green-velvet-2-seater-sofa-376444?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmxppql&istBid=t,Furniture > Sofas,Colby Emerald Green Velvet 2 Seater Sofa,Sofas & Armchairs > 2 seater sofas,green velvet sofa emerald,sofa,armchair sofa seater,100,100
1814,https://www.habitat.co.uk/colby-orange-velvet-3-seater-sofa-376441?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxlqampl&istBid=t,Furniture > Sofas,Colby Orange Velvet 3 Seater Sofa,Sofas & Armchairs > 3 seater sofas,orange velvet sofa,sofa,armchair sofa seater,100,100
1815,https://www.habitat.co.uk/colby-orange-velvet-2-seater-sofa-376440?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaallr&istBid=t,Furniture > Sofas,Colby Orange Velvet 2 Seater Sofa,Sofas & Armchairs > 2 seater sofas,orange velvet sofa,sofa,armchair sofa seater,100,100
1817,https://www.habitat.co.uk/colby-teal-fabric-3-seater-sofa-376381?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmmqilr&istBid=t,Furniture > Sofas,"Colby Teal Blue FaBric 3 Seater Sofa, Wooden Feet",Sofas & Armchairs > 3 seater sofas,fabric teal blue foot sofa,sofa,armchair sofa seater,100,100
1818,https://www.habitat.co.uk/colby-teal-fabric-2-seater-sofa-376380?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmmqill&istBid=t,Furniture > Sofas,"Colby Teal Blue FaBric 2 Seater Sofa, Wooden Feet",Sofas & Armchairs > 2 seater sofas,fabric teal blue foot sofa,sofa,armchair sofa seater,100,100
1735,https://www.habitat.co.uk/colby-purple-velvet-left-arm-chaise-sofa-377326?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxlqamwr&istBid=t,Furniture > Sofas,Colby Purple Velvet Left Arm Chaise Sofa,Sofas & Armchairs > Corner & chaise sofas,purple arm velvet left sofa chaise,sofa,chaise armchair corner sofa,100,100
1704,https://www.habitat.co.uk/colby-navy-wool-herringbone-right-arm-chaise-sofa-377380?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwtwiqp&istBid=t,Furniture > Sofas,Colby Navy Blue Wool Herringbone Right Arm Chaise Sofa,Sofas & Armchairs > Corner & chaise sofas,wool herringbone arm blue navy right sofa chaise,sofa,chaise armchair corner sofa,100,100
1822,https://www.habitat.co.uk/spencer-grey-wool-3-seater-sofa-metal-legs-348942?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxlqampm&istBid=t,Furniture > Sofas,"Spencer Grey Wool 3 Seater Sofa, Metal Legs",Sofas & Armchairs > 3 seater sofas,wool leg spencer grey sofa metal,sofa,armchair sofa seater,100,100
1824,https://www.habitat.co.uk/spencer-charcoal-wool-3-seater-sofa-metal-legs-348939?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxlqampq&istBid=t,Furniture > Sofas,"Spencer Charcoal Grey Wool 3 Seater Sofa, Metal Legs",Sofas & Armchairs > 3 seater sofas,wool leg spencer charcoal grey sofa metal,sofa,armchair sofa seater,100,100
1825,https://www.habitat.co.uk/spencer-blue-wool-4-seater-sofa-metal-legs-348950?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmxppqm&istBid=t,Furniture > Sofas,"Spencer Blue Wool 4 Seater Sofa, Metal Legs",Sofas & Armchairs > 4 seater sofas,wool leg blue spencer sofa metal,sofa,armchair sofa seater,100,100
1826,https://www.habitat.co.uk/spencer-charcoal-wool-4-seater-sofa-metal-legs-348949?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmmqilq&istBid=t,Furniture > Sofas,"Spencer Charcoal Grey Wool 4 Seater Sofa, Metal Legs",Sofas & Armchairs > 4 seater sofas,wool leg spencer charcoal grey sofa metal,sofa,armchair sofa seater,100,100
1827,https://www.habitat.co.uk/spencer-red-wool-3-seater-sofa-metal-legs-348946?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmmqimt&istBid=t,Furniture > Sofas,"Spencer Red Wool 3 Seater Sofa, Metal Legs",Sofas & Armchairs > 3 seater sofas,wool leg spencer red sofa metal,sofa,armchair sofa seater,100,100
1828,https://www.habitat.co.uk/spencer-red-wool-4-seater-sofa-metal-legs-348955?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaallq&istBid=t,Furniture > Sofas,"Spencer Red Wool 4 Seater Sofa, Metal Legs",Sofas & Armchairs > 4 seater sofas,wool leg spencer red sofa metal,sofa,armchair sofa seater,100,100
1829,https://www.habitat.co.uk/spencer-grey-wool-4-seater-sofa-metal-legs-348952?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmxppqq&istBid=t,Furniture > Sofas,"Spencer Grey Wool 4 Seater Sofa, Metal Legs",Sofas & Armchairs > 4 seater sofas,wool leg spencer grey sofa metal,sofa,armchair sofa seater,100,100
1830,https://www.habitat.co.uk/spencer-charcoal-wool-2-seater-sofa-oak-legs-348888?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwtwptx&istBid=t,Furniture > Sofas,"Spencer Charcoal Grey Wool 2 Seater Sofa, Oak Legs",Sofas & Armchairs > Shop By Material > Wool sofas,wool leg oak spencer charcoal grey sofa,sofa,wool armchair by sofa shop material,100,100
1831,https://www.habitat.co.uk/spencer-blue-wool-2-seater-sofa-oak-legs-348889?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwtwptw&istBid=t,Furniture > Sofas,"Spencer Blue Wool 2 Seater Sofa, Oak Legs",Sofas & Armchairs > Shop By Material > Wool sofas,wool leg blue oak spencer sofa,sofa,wool armchair by sofa shop material,100,100
1832,https://www.habitat.co.uk/spencer-grey-wool-2-seater-sofa-oak-legs-348891?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwtwpti&istBid=t,Furniture > Sofas,"Spencer Grey Wool 2 Seater Sofa, Oak Legs",Sofas & Armchairs > Shop By Material > Wool sofas,wool leg oak spencer grey sofa,sofa,wool armchair by sofa shop material,100,100
